File Name,Bad Frequency %
Jeremy Zucker - end (stripped.).mp3,0.0032037464
Aaron Michael - On My Line.mp3,0.0055244053
brakence - hypochondriac.mp3,0.010423825
Jeremy Zucker - glisten (interlude).mp3,0.020363675
"Kanye West, Paul McCartney - Only One.mp3",0.028575998
Del Water Gap - High Tops (Stripped).mp3,0.030317318
"Chelsea Cutler, Jeremy Zucker - please.mp3",0.13126042
Jeremy Zucker - scared.mp3,0.15877134
Nicholas Britell - The Middle of the World.mp3,0.16788892
Pink Sweat$ - Coke & Henny Pt. 2.mp3,0.3120522
Miki Matsubara - Mayonaka no Door  Stay With Me.mp3,0.394569
Sukima Switch - view.mp3,0.46045595
Basement - Covet.mp3,0.5919301
Cage The Elephant - Cigarette Daydreams.mp3,0.78156537
Myles Cameron - Yellow.mp3,0.8233214
ODIE - North Face.mp3,0.8949566
Playboi Carti - Over.mp3,1.1468147
Tame Impala - The Less I Know The Better.mp3,1.4476645
Tory Lanez - Lady Of Namek.mp3,1.4636816
Quinn XCII - Stacy.mp3,1.4678204
Justus Bennetts - Real Life Sux.mp3,1.5314023
"Diplo, Trippie Redd - Wish.mp3",1.7052034
Tory Lanez - The Color Violet.mp3,1.8472191
Jeremy Zucker - end.mp3,1.9249961
brakence - intellectual greed.mp3,2.1208394
Joji - SLOW DANCING IN THE DARK.mp3,2.2409835
brakence - venus fly trap.mp3,2.2795794
ElyOtto - SugarCrash!.mp3,2.344259
A$AP Rocky - CALLDROPS (feat. Kodak Black).mp3,2.4755194
EDEN - crash.mp3,2.501197
Frank Ocean - Nights.mp3,2.8810356
Wifisfuneral - Lost In Time (feat. Coi Leray).mp3,2.908973
AURORA - Runaway.mp3,3.0309026
Joji - Glimpse of Us.mp3,3.0568547
Ruth B. - Dandelions.mp3,3.1561568
Zachary Knowles - cherry wine.mp3,3.2684724
The Neighbourhood - Sweater Weather.mp3,3.3211575
Kehlani - Nights Like This (feat. Ty Dolla $ign).mp3,3.407271
Jeremy Zucker - wildfire.mp3,3.5922728
blackbear - 90210 (feat. G-Eazy).mp3,3.7619069
Marco Luka - do me wrong.mp3,3.9546237
Vague003 - drowning.mp3,3.96203
Khalid - Location.mp3,4.0437894
Kanye West - Ultralight Beam.mp3,4.095572
UMI - Remember Me.mp3,4.098653
J. Cole - No Role Modelz.mp3,4.2520814
Jeremih - oui.mp3,4.692963
Kishi Bashi - I Am the Antichrist to You.mp3,4.708418
SOPHIE - Immaterial.mp3,4.767773
Kanye West - FML.mp3,4.8931065
"Murkish, Huken, harmony haven - Wasted (Nightcore).mp3",5.0330043
ODIE - In My Head.mp3,5.3399725
"Kid Cudi, MGMT, Ratatat - Pursuit Of Happiness (Nightmare).mp3",5.395783
brakence - cbd.mp3,5.5494766
brakence - introvert.mp3,6.094717
"Jeremy Zucker, Chelsea Cutler - better off.mp3",6.306818
SyKo - #BrooklynBloodPop!.mp3,6.4791975
Joji - YEAH RIGHT.mp3,6.549961
Travis Scott - Oh My Dis Side (feat. Quavo).mp3,6.761948
J. Cole - Power Trip (feat. Miguel).mp3,6.9076643
brakence - teeth.mp3,7.4381533
brakence - preparation exercise no. 7 (trembling).mp3,7.469212
brakence - argyle.mp3,7.4847093
Drake - Know Yourself.mp3,7.6367936
Tay-K - Saran Pack.mp3,8.128126
"Kanye West, Pusha T - Runaway.mp3",8.29294
A Boogie Wit da Hoodie - Skeezers.mp3,8.412657
Steve Lacy - Static.mp3,8.52726
brakence - stung.mp3,9.115415
Kendrick Lamar - Swimming Pools (Drank) - Extended Version.mp3,9.30108
Crystal Castles - Kerosene.mp3,9.332189
brakence - 5g.mp3,9.797447
Steve Lacy - Bad Habit.mp3,10.145573
Travis Scott - 90210 (feat. Kacy Hill).mp3,10.2984495
brakence - caffeine.mp3,10.412269
"Kanye West, Rick Ross - Devil In A New Dress.mp3",10.412961
brakence - deepfake.mp3,10.598707
brakence - bugging!.mp3,11.125446
Destroy Lonely - VETERAN (feat. Ken Carson).mp3,12.623138
Bladee - Be Nice 2 Me.mp3,12.695561
COTIS - Reasons.mp3,14.53547
Kanye West - Wolves.mp3,15.020979
Aries - ONE PUNCH.mp3,15.890513
Drake - Chicago Freestyle (feat. Giveon).mp3,15.974723
"Bktherula, Ski Mask The Slump God - THROUGH 2 U.mp3",16.403833
Drake - Back To Back.mp3,16.447525
Travis Scott - 3500 (feat. Future & 2 Chainz).mp3,18.518755
Playboi Carti - Not PLaying.mp3,18.829582
Drake - Lemon Pepper Freestyle (feat. Rick Ross).mp3,22.106972
KANKAN - 14.mp3,22.759516
Ken Carson - MDMA (feat. Destroy Lonely).mp3,25.081062
J.I the Prince of N.Y - Hood Scars 2 (with Lil Tjay).mp3,25.411499
KANKAN - Kickback.mp3,26.298405
anders - Bad Guy.mp3,26.981798
Ken Carson - Murda Musik (feat. Destroy Lonely).mp3,32.71697
mimofr - ascend.mp3.mp3,35.739674
DJ Khaled - GREECE (feat. Drake).mp3,37.208885
Hardrock - bleh.mp3,39.63275
