File Name,Bad Frequency %
Travis Scott - PARASAIL (feat. Yung Lean & Dave Chappelle).mp3,0.16274428
Kay Flock - Is Ya Ready.mp3,2.0748148
Travis Scott - MY EYES.mp3,2.1456106
Kay Flock - PSA.mp3,2.4281378
Metro Boomin - Creepin' (with The Weeknd & 21 Savage).mp3,3.496729
22Gz - Loyalty (feat. Internet Money).mp3,3.7281353
Yeat - Out thë way.mp3,3.7670135
Travis Scott - TELEKINESIS (feat. SZA & Future).mp3,4.230721
Lil Uzi Vert - Erase Your Social.mp3,4.4586945
Travis Scott - DELRESTO (ECHOES) (feat. Beyoncé).mp3,4.5063953
Travis Scott - MODERN JAM (feat. Teezo Touchdown).mp3,4.53992
Kodak Black - No Flockin'.mp3,4.910796
Lil Uzi Vert - Ps & Qs.mp3,5.0641785
Pop Smoke - Scenario.mp3,5.7949977
Travis Scott - TIL FURTHER NOTICE (feat. James Blake & 21 Savage).mp3,6.0956855
Metro Boomin - On Time (with John Legend).mp3,6.2733283
Travis Scott - LOOOVE (feat. Kid Cudi).mp3,6.4643087
Metro Boomin - Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage].mp3,6.9390707
Playboi Carti - Sky.mp3,7.0092583
Travis Scott - ASTROTHUNDER.mp3,7.1987686
Trippie Redd - Love Scars.mp3,7.2507353
Yeat - Up off X.mp3,7.6273246
NLE Choppa - CAPO.mp3,8.168347
NLE Choppa - Camelot.mp3,8.270895
"Mustard - Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie).mp3",8.413452
J. Cole - KOD.mp3,8.542223
Travis Scott - Nightcrawler (feat. Swae Lee & Chief Keef).mp3,8.956464
Travis Scott - CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee).mp3,9.225893
Yeat - Monëy so big.mp3,9.430541
Lil Uzi Vert - 20 Min.mp3,9.460703
Travis Scott - LOST FOREVER (feat. Westside Gunn).mp3,9.64917
Metro Boomin - Too Many Nights (feat. Don Toliver & with Future).mp3,9.846165
22Gz - Cash App.mp3,10.191107
"Young Thug, Travis Scott - pick up the phone.mp3",10.278419
Travis Scott - 90210 (feat. Kacy Hill).mp3,10.2984495
Travis Scott - FE!N (feat. Playboi Carti).mp3,10.349409
Travis Scott - HYAENA.mp3,10.435488
Yeat - Flawlëss (feat. Lil Uzi Vert).mp3,10.606908
22Gz - Twirlanta.mp3,10.924189
LUCKI - Super Urus - Bonus.mp3,11.253265
LUCKI - 4 The Betta.mp3,11.769186
Yeat - Talk.mp3,11.800062
Lil Uzi Vert - Sanguine Paradise.mp3,12.297513
YNW Melly - Mixed Personalities (feat. Kanye West).mp3,12.35001
Travis Scott - I KNOW .mp3,12.482767
Destroy Lonely - VETERAN (feat. Ken Carson).mp3,12.623138
Metro Boomin - Umbrella (with 21 Savage & Young Nudy).mp3,13.628085
Destroy Lonely - NEVEREVER.mp3,13.854626
Lil Uzi Vert - New Patek.mp3,13.854686
Metro Boomin - Trance (with Travis Scott & Young Thug).mp3,13.9367285
Pi’erre Bourne - Poof.mp3,14.553096
Metro Boomin - Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa].mp3,14.962636
Meek Mill - Going Bad (feat. Drake).mp3,15.171936
Metro Boomin - Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff).mp3,15.3954
Kodak Black - Transportin'.mp3,15.786351
Travis Scott - THANK GOD.mp3,15.898158
Metro Boomin - Space Cadet (feat. Gunna).mp3,15.918607
Travis Scott - K-POP (feat. Bad Bunny & The Weeknd).mp3,16.490623
Metro Boomin - Superhero (Heroes & Villains) [with Future & Chris Brown].mp3,17.024464
Lil Uzi Vert - Of Course We Ghetto Flowers (feat. Playboi Carti & Offset).mp3,17.089315
Lil Uzi Vert - Money Longer.mp3,17.261957
Destroy Lonely - NOSTYLIST.mp3,17.52034
Playboi Carti - Let It Go.mp3,18.0585
"SoFaygo, Ken Carson - Hell Yeah.mp3",18.135845
NAV - Never Sleep (with Lil Baby feat. Travis Scott).mp3,20.618313
Playboi Carti - Shoota (feat. Lil Uzi Vert).mp3,21.2644
Metro Boomin - Around Me (feat. Don Toliver).mp3,21.44226
Kodak Black - Roll in Peace (feat. XXXTENTACION).mp3,21.547394
Playboi Carti - R.I.P..mp3,21.82195
Metro Boomin - Metro Spider (with Young Thug).mp3,22.092962
Metro Boomin - Lock On Me (with Travis Scott & Future).mp3,22.098257
Playboi Carti - Poke It Out (with Nicki Minaj).mp3,22.318653
DDG - Elon Musk (feat. Gunna).mp3,22.547773
tana - Antisocial (feat. Slump6s).mp3,22.59168
KANKAN - 14.mp3,22.759516
Metro Boomin - I Can't Save You (Interlude) [with Future & feat. Don Toliver].mp3,22.972023
Destroy Lonely - if looks could kill.mp3,23.39555
"Lil Baby, Gunna, Lil Uzi Vert - Life Goes On.mp3",23.726742
Destroy Lonely - Bane.mp3,23.750513
Travis Scott - GOD'S COUNTRY.mp3,23.866589
Travis Scott - SKITZO (feat. Young Thug).mp3,24.390558
Yeat - Turban.mp3,24.43393
Ken Carson - MDMA (feat. Destroy Lonely).mp3,25.081062
Tay-K - M.... She Wrote.mp3,25.474703
Metro Boomin - All The Money (with Gunna) [Bonus].mp3,26.11894
KANKAN - Kickback.mp3,26.298405
"Chief Keef, 50 Cent, Wiz Khalifa - Hate Bein' Sober.mp3",26.497232
